"","osm_id","name","amenity","healthcare","name.ar","website","geometry"
"3353793941","3353793941",NA,NA,NA,NA,NA,c(-8.0138826, 31.6406673)
"3353793952","3353793952",NA,NA,NA,NA,NA,c(-8.013917, 31.6407452)
"3353793961","3353793961",NA,NA,NA,NA,NA,c(-8.0136422, 31.6408451)
"3353793962","3353793962",NA,NA,NA,NA,NA,c(-8.0169656, 31.6408678)
"3353793969","3353793969",NA,NA,NA,NA,NA,c(-8.0170544, 31.6409092)
"3353793979","3353793979",NA,NA,NA,NA,NA,c(-8.0171116, 31.6409652)
"3353793980","3353793980",NA,NA,NA,NA,NA,c(-8.0137331, 31.6409782)
"3353793982","3353793982",NA,NA,NA,NA,NA,c(-8.0137081, 31.6409864)
"3353793988","3353793988",NA,NA,NA,NA,NA,c(-8.0137569, 31.6410295)
"3353793990","3353793990",NA,NA,NA,NA,NA,c(-8.0171679, 31.6410368)
"3353794025","3353794025",NA,NA,NA,NA,NA,c(-8.0123094, 31.6412994)
"3353794031","3353794031",NA,NA,NA,NA,NA,c(-8.0173539, 31.6413413)
"3353794035","3353794035",NA,NA,NA,NA,NA,c(-8.0121293, 31.6413545)
"3353794073","3353794073",NA,NA,NA,NA,NA,c(-8.0175965, 31.6417604)
"3353794085","3353794085",NA,NA,NA,NA,NA,c(-8.0141309, 31.6418303)
"3353794208","3353794208",NA,NA,NA,NA,NA,c(-8.0141574, 31.6419793)
"3353794218","3353794218",NA,NA,NA,NA,NA,c(-8.0139514, 31.642028)
"3353794253","3353794253",NA,NA,NA,NA,NA,c(-8.0170999, 31.6423883)
"3353794260","3353794260",NA,NA,NA,NA,NA,c(-8.0166957, 31.6424335)
"3353794262","3353794262",NA,NA,NA,NA,NA,c(-8.0161413, 31.6424714)
"3353794265","3353794265",NA,NA,NA,NA,NA,c(-8.0156921, 31.6425334)
"3353794275","3353794275",NA,NA,NA,NA,NA,c(-8.014824, 31.6426941)
"3353794277","3353794277",NA,NA,NA,NA,NA,c(-8.0143809, 31.6427871)
"3353794282","3353794282",NA,NA,NA,NA,NA,c(-8.0141582, 31.6428241)
"3357810603","3357810603",NA,NA,NA,NA,NA,c(-8.0122796, 31.6410662)
"3357810604","3357810604",NA,NA,NA,NA,NA,c(-8.0123743, 31.6412762)
"3358339104","3358339104",NA,NA,NA,NA,NA,c(-8.021433, 31.6336812)
"3358339230","3358339230",NA,NA,NA,NA,NA,c(-8.0146642, 31.6375058)
"3358339274","3358339274",NA,NA,NA,NA,NA,c(-8.0150227, 31.6378279)
"3358339330","3358339330",NA,NA,NA,NA,NA,c(-8.0149547, 31.6381836)
"3358339334","3358339334",NA,NA,NA,NA,NA,c(-8.0150889, 31.6381898)
"3469171447","3469171447",NA,NA,NA,NA,NA,c(-8.0199659, 31.6400865)
